Name	Street	Place
Archenhold-Sternwarte	Alt-Treptow 1	12435 Berlin
Planetarium am Insulaner	Munsterdamm 90 (am Insulaner)	12169 Berlin-Schöneberg
Zeiss-Großplanetarium	Prenzlauer Allee 80	10405 Berlin
Stiftung Planetarium Berlin	Prenzlauer Allee 80	10405 Berlin
Planetarium	Bahnhofstraße 63	15827 Blankenfelde-Mahlow
Raumflugplanetarium &quot;Juri Gagarin&quot;	Lindenplatz 21	03042 Cottbus
Planetarium Frankfurt (Oder)	Mühlenweg 48	15232 Frankfurt an der Oder
Planetarium &quot;Alexej Leonow&quot;	Lugstraße 3	04916 Herzberg/Elster
Planetarium des	Schillerstraße 42/50	14931 Jüterbog
Urania-Planetarium und	Gutenbergstraße 71/72	14467 Potsdam
Planetarium	August-Bebel-Straße 49	15344 Strausberg
Schulsternwarte &quot;Johannes Franz&quot;	Czornebohstraße 82	02625 Bautzen
Schulplanetarium Chemnitz	Albert-Köhler-Straße 48	09122 Chemnitz
Volkssternwarte und Zeiss-Planetarium Drebach	Milchstraße 1	09430 Drebach
Planetarium	Gamigstraße 24	01239 Dresden
Planetarium und Lohrmann-Observatorium	George-Bähr-Straße 1, Beyer-Bau	01062 Dresden
Sternwarte und Planetarium Eilenburg	Mansberg 18	04838 Eilenburg
Planetarium der Scultetus-Sternwarte	An der Sternwarte 1	02827 Görlitz
Planetarium Hoyerswerda	Collins-Straße 29	02977 Hoyerswerda
Planetarium im Schulmuseum Leipzig	Goerdelerring 20	04109 Leipzig
Planetarium Lichtenstein, Minikosmos GbR	Chemnitzer Str. 43	09350 Lichtenstein
Schulplanetarium der Evangelischen Grundschule	Rottwerndorfer Straße 49	01796 Pirna
Volkssternwarte &amp; Planetarium &quot;Adolph Diesterweg&quot;	Auf den Ebenbergen 10a	01445 Radebeul
Schulsternwarte und Planetariumn &quot;Sigmund Jähn&quot;	Rützengrüner Straße 41a	08228 Rodewisch
Planetarium	Bergbreite 1	04435 Schkeuditz
Sternwarte und Planetarium Schneeberg	Heinrich-Heine-Straße 13a	08289 Schneeberg
Planetarium und Schulsternwarte Zwickau	Kreuzbergweg	08064 Zwickau
Planetarium	Auf der Alten Burg 40	06449 Aschersleben
Planetarium Burg	Kirchhofstraße 3	39288 Burg
Planetarium, Astronomische Station	Peterholzstraße 58	06849 Dessau-Rosslau
Planetarium Halberstadt	Wilhelm-Trautewein-Straße 19	38820 Halberstadt
Planetarium der Astronomischen Station	Schkeuditzer Straße 4b	06116 Halle (Saale)
Planetarium, Bildungszentrum Lindenfeld	Falkstraße 83	06886 Lutherstadt Wittenberg
Schulsternwarte und Planetarium	Pablo-Picasso-Straße 20	39128 Magdeburg
Planetarium Merseburg	Teichstraße 2 (Am Gotthardteich)	06217 Merseburg
Arche Nebra – Die Himmelsscheibe erleben	An der Steinklöbe 16	06642 Wangen
Harzplanetarium Wernigerode	Walter-Rathenau-Straße 9	38855 Wernigerode
Planetarium	Karl-Liebknecht-Straße 23 (Postadresse)	36433 Bad Salzungen
Planetarium &amp; Kuppelkino Gera	Leipziger Straße 24 (Hofeinfahrt)	07545 Gera
Planetarium	Reinhardsbrunner Str. 19	99867 Gotha
Zeiss-Planetarium Jena	Am Planetarium 5	07743 Jena
Planetarium Nordhausen	Wiedigsburg 7/8	99734 Nordhausen
Planetarium	Auf dem Hoheloh 1	98527 Suhl
Universe Dimensions	Schopperstraße 40	07937 Zeulenroda-Triebes
