Name	Lat	Long
Archenhold-Sternwarte Alt-Treptow 1 12435 Berlin	52.4858695	13.4763537
Planetarium am Insulaner Munsterdamm 90 (am Insulaner) 12169 Berlin-Schöneberg	52.457586	13.349403
Zeiss-Großplanetarium Prenzlauer Allee 80 10405 Berlin	52.5429953	13.4280298
Stiftung Planetarium Berlin Prenzlauer Allee 80 10405 Berlin	52.5430264	13.4277852
Planetarium Bahnhofstraße 63 15827 Blankenfelde-Mahlow	52.3252701	13.4257701
Raumflugplanetarium &quot;Juri Gagarin&quot; Lindenplatz 21 03042 Cottbus	51.75467	14.34429
Planetarium Frankfurt (Oder) Mühlenweg 48 15232 Frankfurt an der Oder	52.3258171	14.5492515
Planetarium &quot;Alexej Leonow&quot; Lugstraße 3 04916 Herzberg/Elster	51.6918268	13.2280259
Planetarium des Schillerstraße 42/50 14931 Jüterbog	51.99276	13.0764099
Urania-Planetarium und Gutenbergstraße 71/72 14467 Potsdam	52.4023385	13.0618575
Planetarium August-Bebel-Straße 49 15344 Strausberg	52.57472	13.8786671
Schulsternwarte &quot;Johannes Franz&quot; Czornebohstraße 82 02625 Bautzen	51.1622867	14.4569254
Schulplanetarium Chemnitz Albert-Köhler-Straße 48 09122 Chemnitz	50.79302	12.889031
Volkssternwarte und Zeiss-Planetarium Drebach Milchstraße 1 09430 Drebach	50.673786	13.012821
Planetarium Gamigstraße 24 01239 Dresden	51.0072522	13.7933707
Planetarium und Lohrmann-Observatorium George-Bähr-Straße 1, Beyer-Bau 01062 Dresden	51.0298771	13.7290326
Sternwarte und Planetarium Eilenburg Mansberg 18 04838 Eilenburg	51.4502596	12.6263401
Planetarium der Scultetus-Sternwarte An der Sternwarte 1 02827 Görlitz	51.134494	14.949461
Planetarium Hoyerswerda Collins-Straße 29 02977 Hoyerswerda	51.4311783	14.2714196
Planetarium im Schulmuseum Leipzig Goerdelerring 20 04109 Leipzig	51.34223	12.37025
Planetarium Lichtenstein, Minikosmos GbR Chemnitzer Str. 43 09350 Lichtenstein	50.7606272	12.6418746
Schulplanetarium der Evangelischen Grundschule Rottwerndorfer Straße 49 01796 Pirna	50.9388831	13.9450762
Volkssternwarte &amp; Planetarium &quot;Adolph Diesterweg&quot; Auf den Ebenbergen 10a 01445 Radebeul	51.116024	13.622403
Schulsternwarte und Planetariumn &quot;Sigmund Jähn&quot; Rützengrüner Straße 41a 08228 Rodewisch	50.5267268	12.4149713
Planetarium Bergbreite 1 04435 Schkeuditz	51.39554	12.2255799
Sternwarte und Planetarium Schneeberg Heinrich-Heine-Straße 13a 08289 Schneeberg	50.5986014	12.646535
Planetarium und Schulsternwarte Zwickau Kreuzbergweg 08064 Zwickau	50.6800236	12.4653141
Planetarium Auf der Alten Burg 40 06449 Aschersleben	51.75201	11.44163
Planetarium Burg Kirchhofstraße 3 39288 Burg	52.2739606	11.8477756
Planetarium, Astronomische Station Peterholzstraße 58 06849 Dessau-Rosslau	51.8030325	12.2477057
Planetarium Halberstadt Wilhelm-Trautewein-Straße 19 38820 Halberstadt	51.89338	11.06822
Planetarium der Astronomischen Station Schkeuditzer Straße 4b 06116 Halle (Saale)	51.4572638	12.0383083
Planetarium, Bildungszentrum Lindenfeld Falkstraße 83 06886 Lutherstadt Wittenberg	51.87101	12.65068
Schulsternwarte und Planetarium Pablo-Picasso-Straße 20 39128 Magdeburg	52.1713094	11.6188118
Planetarium Merseburg Teichstraße 2 (Am Gotthardteich) 06217 Merseburg	51.3530579	11.9906287
Arche Nebra – Die Himmelsscheibe erleben An der Steinklöbe 16 06642 Wangen	51.2714517	11.5314589
Harzplanetarium Wernigerode Walter-Rathenau-Straße 9 38855 Wernigerode	51.8341348	10.7930812
Planetarium Karl-Liebknecht-Straße 23 (Postadresse) 36433 Bad Salzungen	50.8125652	10.226841
Planetarium &amp; Kuppelkino Gera Leipziger Straße 24 (Hofeinfahrt) 07545 Gera	50.8803475	12.0845316
Planetarium Reinhardsbrunner Str. 19 99867 Gotha	50.940961	10.6957527
Zeiss-Planetarium Jena Am Planetarium 5 07743 Jena	50.9318109	11.5871857
Planetarium Nordhausen Wiedigsburg 7/8 99734 Nordhausen	51.5059863	10.7868201
Planetarium Auf dem Hoheloh 1 98527 Suhl	50.6019211	10.7002384
Universe Dimensions Schopperstraße 40 07937 Zeulenroda-Triebes	50.6551907	11.9921176
