	Name	Lat	Long
0	Archenhold-Sternwarte Alt-Treptow 1 12435 Berlin	52.4858695	13.4763537
1	Planetarium am Insulaner Munsterdamm 90 (am Insulaner) 12169 Berlin-Schöneberg	52.457586	13.349403
2	Zeiss-Großplanetarium Prenzlauer Allee 80 10405 Berlin	52.5429953	13.4280298
3	Stiftung Planetarium Berlin Prenzlauer Allee 80 10405 Berlin	52.5430264	13.4277852
4	Planetarium Bahnhofstraße 63 15827 Blankenfelde-Mahlow	52.3252701	13.4257701
5	Raumflugplanetarium &quot;Juri Gagarin&quot; Lindenplatz 21 03042 Cottbus	51.75467	14.34429
6	Planetarium Frankfurt (Oder) Mühlenweg 48 15232 Frankfurt an der Oder	52.3258171	14.5492515
7	Planetarium &quot;Alexej Leonow&quot; Lugstraße 3 04916 Herzberg/Elster	51.6918268	13.2280259
2	Schulsternwarte &quot;Johannes Franz&quot; Czornebohstraße 82 02625 Bautzen	51.1622867	14.4569254
3	Schulplanetarium Chemnitz Albert-Köhler-Straße 48 09122 Chemnitz	50.79302	12.889031
4	Volkssternwarte und Zeiss-Planetarium Drebach Milchstraße 1 09430 Drebach	50.673786	13.012821
5	Planetarium Gamigstraße 24 01239 Dresden	51.0072522	13.7933707
6	Planetarium und Lohrmann-Observatorium George-Bähr-Straße 1, Beyer-Bau 01062 Dresden	51.0298771	13.7290326
7	Sternwarte und Planetarium Eilenburg Mansberg 18 04838 Eilenburg	51.4502596	12.6263401
8	Planetarium der Scultetus-Sternwarte An der Sternwarte 1 02827 Görlitz	51.134494	14.949461
9	Planetarium Hoyerswerda Collins-Straße 29 02977 Hoyerswerda	51.4311783	14.2714196
