Albstadt-Ebingen	['Sternwarte und Planetarium', ' Hartmannstraße 140', ' D-72458 Albstadt-Ebingen', '+49 (0)7431 72881', ' bitzer.sternwarte (at) t-online.de', '5 m Ø', ' 38 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Goto E-5', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1985']
Freiburg im Breisgau	['Planetarium Freiburg', ' Bismarckallee 7g', ' D-79098 Freiburg im Breisgau', '+49 (0)761 3890630', ' <a href="http://www.planetarium-freiburg.de/" target="_blank" title="Opens external link in new window">www.planetarium-freiburg.de</a>', ' info (at) planetarium-freiburg.de', '13 m Ø', ' 140 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Starmaster ZMP', ' <strong>Fulldome: </strong>Sky-Skan definiti 4K HC', ' <strong>Eröffnet: </strong>2002']
Heidelberg	['Haus der Astronomie', ' Königstuhl 17, MPIA-Campus', ' D-69117 Heidelberg', '+49 (0)6221 528-160', ' <a href="http://www.haus-der-astronomie.de" target="_blank">www.haus-der-astronomie.de</a>', ' info (at) hda-hd.de', '12,2 m Ø, 20° geneigt', ' 101 Plätze, unidirektional', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome: </strong>Zeiss Velvet, SCISS Uniview', ' <strong>Eröffnet: </strong>2011']
Heilbronn	['experimenta gGmbH', ' Experimenta-Platz', ' (ehem. Kranenstraße 14)', ' D-74072 Heilbronn', '+49 (0)7131 887950', ' <a href="http://www.experimenta.science/" target="_blank" title="Opens external link in new window">www.experimenta.science</a>', ' info (at) experimenta.science', '21,5 m Ø, 20° geneigt', ' 150 Plätze, unidirektional', ' <strong>Sternenprojektor: </strong>Zeiss Universarium IX', ' <strong>Fulldome: </strong>E&amp;S Digistar, SCISS Uniview', ' <strong>Eröffnet: </strong>2019']
Laupheim	['Zeiss Planetarium', ' Volkssternwarte Laupheim e.V.', ' Milchstraße 1', ' D-88471 Laupheim', '+49 (0)7392 91059', ' <a href="http://www.planetarium-laupheim.de/" target="_blank" title="Opens external link in new window">www.planetarium-laupheim.de</a>', ' contact (at) planetarium-laupheim.de', '10 m Ø', ' 60 Plätze, epizentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Skymaster ZKP 4', ' <strong>Fulldome: </strong>Zeiss Velvet Duo', ' <strong>Eröffnet: </strong>1990']
Mannheim	['Planetarium Mannheim', ' Wilhelm-Varnholt-Allee 1 (Europaplatz)', ' D-68165 Mannheim', '+49 (0)621 415692', ' <a href="http://www.planetarium-mannheim.de/" target="_blank">www.planetarium-mannheim.de</a>', ' info (at) planetarium-mannheim.de', '20 m Ø', ' 230 Plätze, epizentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Universarium IX', ' <strong>Fulldome: </strong>Zeiss Velvet', ' <strong>Eröffnet: </strong>1984']
Oberkochen	['ZEISS Museum der Optik', ' Carl-Zeiss-Straße 22', ' D-73447 Oberkochen', '+49 (0)7364 20-0', ' <a href="http://www.zeiss.de/corporate/de_de/innovation-und-technologie/zeiss-museum-der-optik.html" target="_blank" title="Opens external link in new window">www.zeiss.de/...</a>', ' museum (at) zeiss.com', '4,6 m Ø', ' ca. 8-10 Plätze, unidirektional', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome: </strong>Zeiss Velvet Duo', ' <strong>Eröffnet: </strong>2014']
Reutlingen	['Sternwarte und Planetarium Reutlingen', ' Karlstraße 40', ' D-72764 Reutlingen', '+49 (0)7121 336122', ' <a href="http://www.sternwarte-reutlingen.de/" target="_blank" title="Opens external link in new window">www.sternwarte-reutlingen.de</a>', ' info (at) sternwarte-reutlingen.de', '4 m Ø', ' 20 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Goto E-5', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1965']
Stuttgart	['Carl-Zeiss-Planetarium Stuttgart', ' Willy-Brandt-Straße 25', ' Mittlerer Schlossgarten', ' D-70173 Stuttgart', '+49 (0)711 1629215', ' <a href="http://www.planetarium-stuttgart.de/" target="_blank" title="Opens external link in new window">www.planetarium-stuttgart.de</a>', ' planetarium (at) stuttgart.de', '20 m Ø', ' 272 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Universarium IX', ' <strong>Fulldome: </strong>Zeiss Velvet', ' <strong>Eröffnet: </strong>1977']
Altenmünster-Violau	['Planetarium und Sternwarte Violau', ' Bruder-Klaus-Heim', ' St.-Michael-Straße 15', ' D-86450 Altenmünster-Violau', '+49 (0)8295 1097', ' <a href="http://www.bruder-klaus-heim.de/" target="_blank" title="Opens external link in new window">www.bruder-klaus-heim.de</a>', ' sternwarte (at) bruder-klaus-heim.de', '4,5 m Ø', ' 26 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss ZKP 1', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1975']
Augsburg	['Planetarium im Gymnasium bei St. Stephan', ' Gallusplatz 2', ' D-86152 Augsburg', '+49 (0)821 32418500', ' <a href="http://st-stephan.de/astronomie-2/" target="_blank" title="Opens external link in new window">www.st-stephan.de/...</a>', ' st-stephan (at) augsburg.de', '4,8 m Ø', ' 30 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Goto E-5', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1983']
Augsburg	['Sparkassen-Planetarium Augsburg', ' Im Thäle 3', ' (Besuchereingang: Ludwigstraße 14)', ' D-86152 Augsburg', '+49 (0)821 3246740', ' <a href="http://www.s-planetarium.de/" target="_blank" title="Opens external link in new window">www.s-planetarium.de</a>', ' leitung (at) s-planetarium.de', '10 m Ø', ' 70 Plätze, unidirektional', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome: </strong>Sky-Skan definiti DLP 7', ' <strong>Eröffnet: </strong>1989']
Bad Tölz	['Planetarium, Marionettentheater Bad Tölz', ' Am Schlossplatz 1', ' D-83646 Bad Tölz', '+49 (0)8041 741762', ' <a href="http://www.planetarium-toelz.de/" target="_blank" title="Opens external link in new window">www.planetarium-toelz.de</a>', ' amalymotta (at) aol.com', '6 m Ø', ' 35 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss ZKP 1', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>2014']
